Date,sma111,sma350x2
2023-04-18,23721.63497677365,44576.01776785714
2023-04-19,23831.367750563062,44513.87095982143
2023-04-20,23936.263267173425,44466.27580357143
2023-04-21,24032.924655123872,44416.195736607144
2023-04-22,24133.75726703266,44372.28457589286
2023-04-23,24231.981718046172,44335.32525669643
2023-04-24,24329.688766891893,44319.48746651786
2023-04-25,24432.791103603602,44303.971417410714
2023-04-26,24537.16916525901,44301.03625
2023-04-27,24649.978339667792,44303.470736607145
2023-04-28,24761.556570242115,44303.79735491071
2023-04-29,24871.082189611487,44298.92434151786
2023-04-30,24979.841216216217,44287.288303571426
2023-05-01,25075.74459811374,44277.16630580357
2023-05-02,25172.552171311938,44267.193046875
2023-05-03,25263.8739794482,44268.82754464286
2023-05-04,25344.397733671172,44260.446841517856
2023-05-05,25421.497606981982,44262.35338169643
2023-05-06,25493.784311655407,44259.338504464286
2023-05-07,25559.418056728602,44248.65996651786
2023-05-08,25618.27169552365,44240.633470982146
2023-05-09,25681.06443552928,44229.223125
2023-05-10,25739.93797508446,44218.13395089286
2023-05-11,25778.89505912162,44205.182890625
2023-05-12,25815.177628800677,44194.768125
2023-05-13,25851.787197353602,44183.163426339284
2023-05-14,25887.7890625,44168.79017857143
2023-05-15,25928.83613105293,44142.88333705357
2023-05-16,25964.140554617115,44115.70813616071
2023-05-17,26003.47411669482,44101.992265625
2023-05-18,26037.28925605293,44081.21924107143
2023-05-19,26072.055373733107,44065.137745535714
2023-05-20,26102.28077491554,44049.69015625
2023-05-21,26137.539220861487,44031.67395089286
2023-05-22,26170.980609515766,44005.84883928571
2023-05-23,26202.52977195946,43983.39311383929
2023-05-24,26228.322089667792,43961.224330357145
2023-05-25,26255.59132179054,43940.44838169643
2023-05-26,26286.10882953266,43926.936875
2023-05-27,26321.358266469593,43918.408549107146
2023-05-28,26369.336078265766,43925.96853794643
2023-05-29,26409.710796734234,43956.01708705357
2023-05-30,26452.620266751128,43987.420267857146
2023-05-31,26501.274493243243,44013.973515625
2023-06-01,26547.840160472973,44050.76392857143
2023-06-02,26596.297050957208,44089.49597098214
2023-06-03,26643.92701295045,44135.53875
2023-06-04,26691.773543074323,44173.057578125
2023-06-05,26723.659065315314,44202.54649553572
2023-06-06,26750.063942849098,44239.85041294643
2023-06-07,26774.591181024774,44276.18737723214
2023-06-08,26792.092219172297,44307.172176339285
2023-06-09,26808.660666525902,44337.16485491071
2023-06-10,26822.386771537163,44362.01572544643
