Date,로테이션(금리보정),VOO B&H,phase
2024-08-22,1297535.2455678433,1383764.925261926,expansion
2024-08-23,1315814.369031994,1398736.1805631954,expansion
2024-08-26,1307934.6995676225,1395298.0965961355,expansion
2024-08-27,1311443.0680697781,1397166.2001754967,expansion
2024-08-28,1302167.1824390604,1389179.5212416784,expansion
2024-08-29,1302491.4893847075,1389396.253678098,expansion
2024-08-30,1314631.5435893526,1402472.3032916735,expansion
2024-09-03,1281355.5903883292,1374100.1107978092,recovery
2024-09-04,1281457.7432276548,1370688.8756483505,recovery
2024-09-05,1278510.7461035904,1367304.8270374686,expansion
2024-09-06,1255298.400415748,1344536.6919909555,recovery
2024-09-09,1269931.0733472144,1359670.3066514905,expansion
2024-09-10,1276451.9612530416,1365274.364098842,expansion
2024-09-11,1292611.6933586956,1379243.7701244764,expansion
2024-09-12,1298707.9826915832,1391101.5757469735,expansion
2024-09-13,1309486.0069534734,1398492.5148789308,expansion
2024-09-16,1309844.2926332976,1400604.1997123123,expansion
2024-09-17,1309138.4429892546,1401253.9748703511,expansion
2024-09-18,1302079.658500406,1396705.5487640805,expansion
2024-09-19,1326790.1615458396,1421071.1040276012,expansion
2024-09-20,1321985.9335992546,1418282.541927848,expansion
2024-09-23,1325513.8796770675,1421775.0834023058,expansion
2024-09-24,1332335.4785666307,1425863.026957648,expansion
2024-09-25,1329670.1405366869,1422966.2252850514,expansion
2024-09-26,1343081.6628497555,1428624.7402398004,expansion
2024-09-27,1338748.7584440422,1426775.0424536373,expansion
2024-09-30,1338443.062615377,1432993.8365077558,expansion
2024-10-01,1326473.8146580018,1419605.5638517651,expansion
2024-10-02,1329336.1137181662,1419849.904977982,expansion
2024-10-03,1327448.545639236,1417161.4771476458,recovery
2024-10-04,1336316.0275280692,1430224.0179221767,expansion
2024-10-07,1327636.4412359055,1417351.4451967084,recovery
2024-10-08,1335634.3963240844,1430766.9043912762,recovery
2024-10-09,1343471.1186495833,1440543.5889287295,recovery
2024-10-10,1340110.1093340984,1438126.6887631873,recovery
2024-10-11,1349263.5520084617,1446680.992227605,recovery
2024-10-14,1360720.868065766,1458521.6585105644,expansion
2024-10-15,1341864.130842242,1447414.1844667431,recovery
2024-10-16,1347156.4207118517,1453497.3835489526,expansion
2024-10-17,1348379.6219587433,1453714.7069970805,expansion
2024-10-18,1352530.2494978292,1459309.0549663685,expansion
2024-10-21,1346963.9423443296,1457055.1051718,expansion
2024-10-22,1345971.4981797074,1456050.21640738,expansion
2024-10-23,1335372.9713803506,1442770.5210452094,expansion
2024-10-24,1340244.6597867892,1446029.3596041978,expansion
2024-10-25,1341182.5144605546,1445459.1177360334,recovery
2024-10-28,1344229.061134598,1449967.0173251706,expansion
2024-10-29,1351939.7177043022,1452275.340196893,expansion
