Date,SOXX,466950.KS,469170.KS
2025-06-02,1316022.909526763,1369901.1003221646,1147843.0721066357
2025-06-04,1329592.4605315002,1382716.0483183172,1155077.9032882922
2025-06-05,1325449.0199539424,1377728.9901386823,1155250.5443267387
2025-06-09,1333569.004388253,1379736.196686395,1157940.5831921003
2025-06-10,1343896.434547082,1389379.1055111869,1164729.1847122316
2025-06-11,1343400.8143434778,1388820.9913213337,1167171.3350312943
2025-06-12,1352705.6688791672,1400410.643434171,1178723.510022734
2025-06-13,1341702.102879236,1391985.0492210558,1169926.5047328707
2025-06-16,1345894.2327229285,1393341.6184364606,1169105.2206477318
2025-06-17,1342834.712679698,1394648.9455220024,1165382.329357706
2025-06-18,1342327.862542555,1393913.544958763,1164106.2317558043
2025-06-20,1339648.2301913472,1392904.9022504198,1165983.7192288705
2025-06-23,1347087.9666468066,1399355.0601606406,1169693.5608048495
2025-06-24,1358398.3135848863,1407218.9412963202,1176340.6775022459
2025-06-25,1359393.0381708858,1409378.9951973648,1176832.188959425
2025-06-26,1367255.7886125068,1413677.344480579,1180724.8586592178
2025-06-27,1363674.9540795034,1411887.6442048033,1174637.441937286
2025-06-30,1372116.8924977249,1420572.0371534375,1184314.1343577716
2025-07-01,1375579.5081935527,1426725.288448778,1190920.9222318453
2025-07-02,1385553.6562291414,1424239.9920583323,1198538.3983351635
2025-07-03,1391590.5283799313,1430787.6236938909,1213692.0717828858
2025-07-07,1377758.2380961685,1425999.3649372787,1203544.7564261276
2025-07-08,1383019.965816579,1428727.4908555774,1200973.9091076101
2025-07-09,1389486.9265503038,1431710.5981012017,1206025.871925444
2025-07-10,1396167.691928809,1439107.0768368256,1213406.1201465162
2025-07-11,1391547.243660016,1433355.1625739923,1216893.8039115204
2025-07-14,1389396.2018316912,1435055.624871625,1217893.529049094
2025-07-15,1384971.959742008,1436896.5625614384,1211128.111586521
2025-07-16,1387599.9176139652,1440582.7399874392,1206468.1769520734
2025-07-17,1393994.7914995407,1451933.7331943475,1210790.5986756368
2025-07-18,1393568.9338590656,1456559.8265100354,1227450.9747291575
2025-07-21,1397360.7296730657,1461884.208439221,1236836.9602568895
2025-07-22,1397150.376554217,1460465.6450956482,1233998.7037774322
2025-07-23,1400213.4017818577,1461695.9217857989,1249023.2472326108
2025-07-24,1398525.2441262878,1466016.7057104222,1247054.76316114
2025-07-25,1401201.006713895,1471346.1742951092,1246343.9920899514
2025-07-28,1403641.2946025555,1475773.52867161,1239662.361519649
2025-07-29,1404314.6208653185,1478317.3364803893,1236508.021956224
2025-07-30,1400697.6020883592,1469283.920488905,1232227.6882909543
2025-07-31,1387348.7747784029,1474826.2832980263,1217749.6238538611
2025-08-01,1375827.409925824,1462799.5802601487,1199973.3543786139
2025-08-04,1392482.8624388953,1466542.3438935962,1211108.9757117275
2025-08-05,1388545.5490746254,1473023.1536878883,1218220.685602842
2025-08-06,1390217.7072450486,1475090.1446019819,1222972.1924229069
2025-08-07,1395652.9141785891,1478532.3458827848,1223489.09919759
2025-08-08,1403697.4639970697,1485353.8703010892,1227987.435193789
2025-08-11,1399525.9803724897,1482068.8058494034,1235565.350707629
2025-08-12,1417472.3431661022,1490066.0112650855,1240967.8791427335
2025-08-13,1428071.2272509544,1500821.789968886,1246451.588306972
2025-08-14,1425948.8202516166,1493189.4686382525,1248628.601140513
2025-08-18,1416391.3678927317,1484883.4533215475,1237569.6931847914
2025-08-19,1409302.136919219,1481908.1270060241,1233676.5309770617
2025-08-20,1407646.5723729574,1471290.5754253205,1232235.406205865
2025-08-21,1402360.5066755298,1468397.7790729874,1229969.5071811983
2025-08-22,1425964.2330036366,1483027.7698709914,1242820.6950393952
2025-08-25,1420435.1480027633,1485667.0804190969,1245980.446866883
2025-08-26,1426644.6028264936,1490513.1945416753,1247831.8813336808
2025-08-27,1429771.0876218195,1496114.8189285833,1244809.0817521326
2025-08-28,1434997.2510637196,1496051.440898465,1242650.7736636035
2025-08-29,1423450.8447047547,1498469.939449416,1235153.813217925
2025-09-02,1416781.6668506374,1488413.1778744867,1226831.8143139933
2025-09-03,1419617.6193369497,1491053.427180876,1230023.2940994005
2025-09-04,1429292.844041811,1499613.8579625362,1237394.7716375333
